"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S3_92","A已测吸嘴2状态不符报警","感应器类型报警","10:15:32","10:15:49","17"
"ERR_S3_91","A已测吸嘴1状态不符报警","感应器类型报警","10:15:32","10:15:49","17"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","11:37:11","11:37:27","16"
"ERR_S2_14","A空盘仓满盘报警","感应器类型报警","11:37:26","11:37:43","17"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","11:45:58","11:46:38","40"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","11:47:10","11:47:20","10"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","11:47:20","11:47:30","10"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","11:47:40","11:48:00","20"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","11:49:48","11:50:48","60"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","11:50:49","11:51:09","20"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","11:53:30","11:53:41","11"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","18:49:57","18:50:07","10"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","20:23:51","20:32:31","520"
"ERR_S3_58","C19_A未测取料升降气缸2动位报警","气缸类型报警","20:30:21","20:30:37","16"
"ERR_S3_56","C18_A未测取料升降气缸1动位报警","气缸类型报警","20:30:21","20:30:37","16"
"ERR_S3_58","C19_A未测取料升降气缸2动位报警","气缸类型报警","20:31:10","20:32:47","97"
"ERR_S3_56","C18_A未测取料升降气缸1动位报警","气缸类型报警","20:31:10","20:32:47","97"
"ERR_S3_16","A02_A搬运Y轴未使能报警","轴类型报警","20:33:03","20:36:51","228"
"ERR_S3_13","A02_A搬运Y轴负限位报警","轴类型报警","20:33:19","20:33:36","17"
"ERR_S3_5","A01_A搬运X轴未使能报警","轴类型报警","20:33:19","20:36:51","212"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","20:33:19","20:37:07","228"
"ERR_S3_58","C19_A未测取料升降气缸2动位报警","气缸类型报警","20:33:36","20:34:24","48"
"ERR_S3_56","C18_A未测取料升降气缸1动位报警","气缸类型报警","20:33:36","20:34:24","48"
"ERR_S3_58","C19_A未测取料升降气缸2动位报警","气缸类型报警","20:35:46","20:36:51","65"
"ERR_S3_56","C18_A未测取料升降气缸1动位报警","气缸类型报警","20:35:46","20:36:51","65"
"ERR_S3_13","A02_A搬运Y轴负限位报警","轴类型报警","20:36:34","20:36:51","17"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","20:40:07","20:40:24","17"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","20:45:23","20:46:12","49"
"ERR_S3_91","A已测吸嘴1状态不符报警","感应器类型报警","21:48:55","21:51:20","145"
"ERR_S3_91","A已测吸嘴1状态不符报警","感应器类型报警","21:51:36","21:51:53","17"
"ERR_S3_91","A已测吸嘴1状态不符报警","感应器类型报警","21:52:41","21:52:57","16"
"ERR_S3_91","A已测吸嘴1状态不符报警","感应器类型报警","21:53:29","21:54:50","81"
