"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","09:51:31","09:52:13","42"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","09:52:24","09:53:57","93"
"ERR_S1_23","未测流道A模组顶升工位2状态不符报警","感应器类型报警","09:53:46","09:53:56","10"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","10:57:17","10:58:42","85"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","11:36:08","11:37:16","68"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","12:12:00","12:13:42","102"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","13:23:50","13:24:08","18"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","13:25:32","13:26:06","34"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","15:17:57","15:19:04","67"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","15:25:02","15:26:10","68"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","15:33:50","15:34:58","68"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","16:32:41","16:34:06","85"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","16:34:23","16:34:40","17"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","16:36:44","16:40:11","207"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","16:40:25","16:42:24","119"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","16:45:50","16:48:23","153"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","16:50:57","16:52:56","119"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","16:57:14","16:58:56","102"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","17:30:12","17:30:29","17"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","17:33:56","17:34:13","17"
