"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","01:18:23","01:18:46","23"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","02:05:10","02:05:33","23"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","02:09:38","02:09:49","11"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","02:15:18","02:17:29","131"
"ERR_S4_70","C33_B取料盘夹爪气缸动位报警","气缸类型报警","02:50:13","02:51:46","93"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","02:50:34","02:51:20","46"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","02:51:32","02:51:44","12"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","04:01:25","04:02:00","35"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","04:02:11","04:02:23","12"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","04:02:34","04:03:32","58"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","04:04:18","04:04:30","12"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","04:04:53","04:06:37","104"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","04:06:48","04:07:00","12"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","04:13:12","04:13:36","24"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","05:03:04","05:03:23","19"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","05:06:17","05:08:30","133"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","05:12:39","05:12:58","19"
"ERR_S4_38","A04_A搬运R1轴未使能报警","轴类型报警","05:13:17","05:13:55","38"
"ERR_S1_25","未测流道B模组顶升工位2状态不符报警","感应器类型报警","05:13:51","05:16:42","171"
"ERR_S2_13","已测流道有料状态[2]状态不符报警","感应器类型报警","05:13:52","05:16:24","152"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","05:16:45","05:17:05","20"
"ERR_S4_38","A04_A搬运R1轴未使能报警","轴类型报警","05:17:24","05:18:21","57"
"ERR_S1_25","未测流道B模组顶升工位2状态不符报警","感应器类型报警","05:20:30","05:20:49","19"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","05:26:49","05:27:13","24"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","05:35:58","05:36:33","35"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","05:59:38","06:00:09","31"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","07:18:09","07:18:44","35"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","07:42:04","07:42:16","12"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","08:18:52","08:19:15","23"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","10:22:35","10:23:21","46"
