"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","00:21:09","00:21:28","19"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","01:04:02","01:04:41","39"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","01:35:43","01:36:33","50"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","01:46:14","01:47:03","49"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","03:06:59","03:08:19","80"
"ERR_S4_70","C33_B取料盘夹爪气缸动位报警","气缸类型报警","03:07:01","03:08:40","99"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","03:08:29","03:08:49","20"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","03:36:40","03:40:25","225"
"ERR_S4_70","C33_B取料盘夹爪气缸动位报警","气缸类型报警","03:36:42","03:40:27","225"
"ERR_S4_101","B搬运夹爪有料状态不符报警","感应器类型报警","03:39:09","03:40:27","78"
"ERR_S3_94","A工位MES上传数据PC反馈超时报警","MES上传类型报警","04:32:34","04:34:12","98"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","04:34:12","04:34:51","39"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","04:35:01","04:37:18","137"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","04:43:05","04:43:21","16"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","04:44:11","04:44:50","39"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","05:57:44","05:57:53","9"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:13:05","06:14:00","55"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:14:19","06:14:39","20"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:15:18","06:15:28","10"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","06:15:58","06:17:17","79"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","06:17:37","06:19:15","98"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:22:59","06:24:46","107"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:25:06","06:25:16","10"
"ERR_S2_14","A空盘仓满盘报警","感应器类型报警","06:25:46","06:25:56","10"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:25:55","06:26:25","30"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","06:26:26","06:26:36","10"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","06:26:36","06:26:46","10"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","06:26:44","06:26:54","10"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","06:27:05","06:27:15","10"
