"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","00:46:09","00:51:09","300"
"ERR_S1_23","未测流道A模组顶升工位2状态不符报警","感应器类型报警","00:50:46","00:51:07","21"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","00:51:19","00:51:50","31"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","01:17:14","01:17:58","44"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","01:22:51","01:23:22","31"
"ERR_S2_12","已测流道有料状态[1]状态不符报警","感应器类型报警","02:09:00","02:11:35","155"
"ERR_S3_64","V02_A未测取料真空2报警","真空类型报警","02:10:03","02:10:44","41"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","08:22:11","08:23:19","68"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","08:53:11","08:54:25","74"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","09:12:20","09:12:31","11"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","09:13:42","09:13:53","11"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","09:14:16","09:14:37","21"
"ERR_S1_4","C03_A未测顶升气缸1原位报警","气缸类型报警","09:37:01","09:37:18","17"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","09:38:29","09:39:03","34"
"ERR_S3_94","A工位MES上传数据PC反馈超时报警","MES上传类型报警","09:49:35","09:50:58","83"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","09:52:13","09:54:39","146"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","16:15:19","16:16:07","48"
"ERR_S1_27","未测流道A模组阻挡工位2状态不符报警","感应器类型报警","16:15:34","16:16:07","33"
"ERR_S1_27","未测流道A模组阻挡工位2状态不符报警","感应器类型报警","16:16:24","16:16:41","17"
"ERR_S1_9","C05_A未测顶升气缸2动位报警","气缸类型报警","16:16:58","16:20:16","198"
"ERR_S1_2","C02_A未测阻挡气缸1原位报警","气缸类型报警","16:16:58","16:18:56","118"
"ERR_S1_27","未测流道A模组阻挡工位2状态不符报警","感应器类型报警","16:16:58","16:20:34","216"
"ERR_S1_2","C02_A未测阻挡气缸1原位报警","气缸类型报警","16:19:13","16:20:16","63"
"ERR_S1_23","未测流道A模组顶升工位2状态不符报警","感应器类型报警","16:19:13","16:20:34","81"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","16:28:51","16:31:28","157"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","16:32:58","16:33:49","51"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","16:34:06","16:34:57","51"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","20:59:53","21:01:28","95"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","21:01:38","21:01:49","11"
"ERR_S2_13","已测流道有料状态[2]状态不符报警","感应器类型报警","22:26:01","22:30:56","295"
"ERR_S2_13","已测流道有料状态[2]状态不符报警","感应器类型报警","22:31:17","22:37:14","357"
