"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","00:06:15","00:07:20","65"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","00:08:51","00:09:36","45"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","00:17:43","00:18:27","44"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","01:02:51","01:03:24","33"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","04:48:32","04:50:11","99"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","04:56:35","04:58:51","136"
"ERR_S4_92","B已测吸嘴2状态不符报警","感应器类型报警","04:57:44","04:58:29","45"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","06:20:45","06:22:35","110"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","06:24:48","06:25:14","26"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","06:26:25","06:26:43","18"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","06:26:43","06:29:10","147"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","06:30:39","06:31:10","31"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","07:02:44","07:03:51","67"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","07:15:51","07:16:13","22"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","07:16:24","07:16:35","11"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","07:21:30","07:21:52","22"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","07:26:44","07:27:28","44"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","07:27:38","07:28:00","22"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","07:53:49","07:54:17","28"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","08:01:28","08:04:24","176"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","08:14:39","08:15:12","33"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","08:20:56","08:26:28","332"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","08:26:29","08:26:40","11"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","08:27:37","08:27:48","11"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","08:27:59","08:28:10","11"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","08:28:21","08:28:33","12"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","08:39:56","08:40:53","57"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","09:07:33","09:09:23","110"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","09:16:06","09:19:02","176"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","09:19:47","09:20:20","33"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","09:22:56","09:23:08","12"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","09:53:11","09:53:29","18"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","10:03:09","10:04:03","54"
"ERR_S3_66","V04_A已测取料真空2报警","真空类型报警","10:56:27","10:59:34","187"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","10:58:50","10:59:12","22"
"ERR_S3_66","V04_A已测取料真空2报警","真空类型报警","11:00:18","11:04:16","238"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","11:33:52","11:34:47","55"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","11:35:05","11:35:41","36"
"ERR_S1_23","未测流道A模组顶升工位2状态不符报警","感应器类型报警","11:41:24","11:45:00","216"
"ERR_S3_70","C31_A取料盘夹爪气缸动位报警","气缸类型报警","11:41:26","11:45:03","217"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","11:48:06","11:51:07","181"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","11:51:42","11:52:00","18"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","11:58:00","12:00:41","161"
