"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S1_23","未测流道A模组顶升工位2状态不符报警","感应器类型报警","08:19:37","08:19:47","10"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","08:27:49","08:27:58","9"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","08:28:08","08:28:38","30"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","08:35:02","08:35:22","20"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","08:50:27","08:50:37","10"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","09:00:36","09:00:46","10"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","09:08:38","09:08:47","9"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","09:17:42","09:17:59","17"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","09:21:03","09:21:19","16"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","09:21:15","09:21:31","16"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","10:58:35","10:58:51","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","12:33:35","12:34:53","78"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","12:49:52","12:53:02","190"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","13:00:43","13:00:59","16"
"ERR_S4_68","C32_B取料盘升降气缸动位报警","气缸类型报警","13:02:17","13:03:05","48"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","13:22:38","13:23:26","48"
"ERR_S3_105","C27_治具2上锁气缸动位报警","治具异常类型报警","13:31:51","13:32:23","32"
"ERR_S3_105","C27_治具2上锁气缸动位报警","治具异常类型报警","13:32:39","13:32:55","16"
"ERR_S3_104","C27_治具2上锁气缸原位报警","治具异常类型报警","13:50:42","13:50:58","16"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","14:03:01","14:03:32","31"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","14:12:24","14:13:11","47"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","14:15:01","14:15:17","16"
"ERR_S2_14","A空盘仓满盘报警","感应器类型报警","14:27:52","14:28:07","15"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","14:32:04","14:32:35","31"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","14:33:38","14:34:09","31"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","14:40:12","14:40:28","16"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","14:44:26","14:44:41","15"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","14:45:45","14:46:00","15"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","14:47:53","14:48:10","17"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","14:49:31","14:50:19","48"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","14:56:17","14:57:40","83"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","15:10:29","15:10:46","17"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","15:17:26","15:17:42","16"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","15:17:59","15:19:06","67"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","15:20:25","15:20:41","16"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","15:34:11","15:35:00","49"
"ERR_S3_105","C27_治具2上锁气缸动位报警","治具异常类型报警","15:43:56","15:44:13","17"
"ERR_S3_100","A工位治具2未推到位无法运行报警","治具异常类型报警","15:44:13","15:44:46","33"
"ERR_S3_104","C27_治具2上锁气缸原位报警","治具异常类型报警","15:48:24","15:48:42","18"
"ERR_S3_77","A工位治具相机拍照NG","治具异常类型报警","15:48:42","15:49:16","34"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","16:20:34","16:20:51","17"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","16:45:49","16:46:39","50"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","16:47:13","16:48:18","65"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","17:28:26","17:28:43","17"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","18:09:00","18:10:12","72"
"ERR_S2_14","A空盘仓满盘报警","感应器类型报警","19:09:35","19:09:51","16"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","19:25:07","19:25:28","21"
